date,start_time,end_time,site_name,action,tooth brush,Q-tip,cable removed,who,comment
11/1/2023,,,acacia,cleaned,yes,yes,yes,OH+ED,
20/10/2023,10:05,10:20,acacia,cleaned,yes,yes,yes,PN,cleaned after the data were collected.
23/11/2023,10:35,10:45,acacia,cleaned,yes,yes,yes,PN+MM,
3/3/2024,10:14,10:20,acacia,cleaned,No,yes,yes,DM+PN,
2/5/2024,11:28,11:38,acacia,cleaned,yes,yes,yes,DM+PN,
2/6/2024,10:24,10:30,acacia,cleaned,yes,no,yes,DM+PN,
8/12/2024,11:05,11:13,acacia,cleaned,yes,yes,yes,PN+HM,
30/12/2022,,,mlima,cleaned,yes,yes,yes,OH+ED,
9/4/2023,18:25,18:32,mlima,cleaned,yes,yes,yes,PN,in good condition but records mistakenly showed rainfall at 18:30 (3/180) and 19:00 (1.8/108). This was corrected in the file
8/12/2024,18:17,18:29,mlima,cleaned,yes,yes,yes,PN,